"skill_id","skills","demand_count","salaire_moyen"
234,"confluence","11","114209.91"
233,"jira","21","104921.81"
215,"flow","28","97200.00"
201,"alteryx","18","94747.61"
199,"spss","24","92169.68"
198,"outlook","13","90077.42"
197,"ssrs","14","99171.43"
196,"powerpoint","58","88701.09"
195,"sharepoint","18","81633.58"
194,"ssis","13","107030.92"
192,"sheets","33","85221.49"
188,"word","49","81972.73"
187,"qlik","15","97292.63"
186,"sas","64","98185.37"
185,"looker","51","103032.25"
183,"power bi","111","97499.49"
182,"tableau","238","98203.18"
181,"excel","262","87054.44"
97,"hadoop","22","113192.57"
92,"spark","14","99941.07"
